Group DependentVariable
1 54.96714153011233
1 48.61735698828815
1 56.47688538100692
1 65.23029856408026
1 47.658466252766644
1 47.6586304305082
1 65.79212815507391
1 57.67434729152909
1 45.30525614065048
1 55.42560043585965
1 45.365823071875376
1 45.34270246429743
1 52.41962271566034
1 30.86719755342202
1 32.75082167486967
1 44.37712470759027
1 39.87168879665576
1 53.142473325952736
1 40.91975924478789
1 35.87696298664709
1 64.65648768921554
1 47.74223699513465
1 50.67528204687924
1 35.75251813786544
1 44.556172754748175
1 51.10922589709866
1 38.490064225776976
1 53.75698018345672
1 43.99361310081195
1 47.083062502067236
1 43.98293387770603
1 68.52278184508938
1 49.86502775262066
1 39.422890710440996
1 58.225449121031886
1 37.791563500289776
1 52.08863595004755
1 30.403298761202244
1 36.71813951101569
1 51.96861235869123
1 57.38466579995411
1 51.7136828118997
1 48.843517176117594
1 46.98896304410711
1 35.214780096325725
1 42.801557916052914
1 45.393612290402125
1 60.57122226218915
1 53.43618289568462
1 32.36959844637266
2 58.24083969394795
2 51.149177195836835
2 48.23077999694041
2 61.11676288840868
2 65.30999522495951
2 64.31280119116198
2 46.607824767773614
2 51.907876241487855
2 58.31263431403564
2 64.75545127122359
2 50.2082576215471
2 53.14341023336183
2 43.93665025993972
2 43.037933759193294
2 63.125258223941984
2 68.56240028570824
2 54.27989878419666
2 65.03532897892023
2 58.61636025047634
2 48.54880245394876
2 58.61395605508414
2 70.38036566465969
2 54.64173960890049
2 70.64643655814007
2 28.802548959102555
2 63.21902504375224
2 55.870470682381715
2 52.009926495341325
2 55.91760776535502
2 35.124310853991076
2 52.80328112162488
2 58.57112571511746
2 69.77894044741517
2 49.81729781726352
2 46.91506397106812
2 49.982429564154636
2 64.15402117702074
2 58.287511096596845
2 49.70239796232961
2 60.13267433113356
2 55.9707754934804
2 64.68644990532889
2 47.979469061226474
2 51.723378534022316
2 51.078918468678424
2 40.364850518678814
2 57.96120277064576
2 57.610552721798896
2 55.05113456642461
2 52.65412866624853
3 45.84629257949586
3 55.79354677234641
3 56.572854834732304
3 51.97722730778381
3 58.387142883339905
3 64.04050856814538
3 78.8618590121053
3 61.74577812831839
3 62.57550390722764
3 59.25554084233833
3 40.812287847009586
3 59.73486124550783
3 60.60230209941027
3 84.63242112485287
3 58.076390352188774
3 63.015473423336125
3 59.65288230294757
3 48.31321962380468
3 71.4282281451502
3 67.51933032686775
3 67.91031947043047
3 50.906125452052606
3 74.02794310936099
3 45.98148937207719
3 65.8685709380027
3 81.90455625809979
3 50.09463674869312
3 54.33702270397228
3 60.99651365087641
3 54.96524345883801
3 44.493365689338674
3 60.68562974806027
3 49.37696286273895
3 64.73592430635182
3 50.80575765766197
3 75.4993440501754
3 52.16746707663763
3 56.77938483794324
3 68.1351721736967
3 47.69135683566045
3 62.27459934604129
3 73.07142754282428
3 43.92516765438772
3 61.84633858532304
3 62.598827942484235
3 67.81822871777311
3 47.63049289121918
3 46.795433869157236
3 65.21941565616898
3 62.96984673233186
4 67.50492850345877
4 68.46448209496975
4 58.19975278421509
4 67.32253697161003
4 67.93072473298682
4 57.85648581973632
4 83.65774511144757
4 69.73832920911788
4 53.08696502797351
4 71.5655360863383
4 55.253183297726785
4 72.87084603742451
4 76.58595579007404
4 56.7931768164829
4 74.63376129244321
4 69.12780926936499
4 73.2206015999449
4 83.96792982653947
4 62.54611883997129
4 57.4626383564251
4 56.10485570374477
4 56.841897150345616
4 64.22898290585896
4 68.41151974816644
4 67.7669079933002
4 73.27183249036024
4 65.13001891877907
4 79.53534077157317
4 62.35343166762044
4 92.20169166589619
4 71.25667347765007
4 56.42842443583717
4 54.29107501938888
4 69.82472415243186
4 62.76537214674149
4 72.14000494092092
4 69.73237624573545
4 64.27171087343127
4 56.532062819315954
4 49.851527753141355
4 60.53485047932979
4 73.56398794323472
4 67.14093744130204
4 52.542612212880115
4 66.73180925851182
4 68.85317379728836
4 56.16142563798867
4 66.53725105945527
4 65.58208718446
4 53.57029702169377
